Nome;Idade;Momento Inicial;Percentil;# Respostas Corretas;# Respostas Incorretas;Resposta esperada;Resposta dada;Tempos;Validez
release;10;03/05/2017 08:04:18;1;4;14;4;1;1140;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;5;1;612;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;1;1;808;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;2;1;509;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;6;1;402;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;3;1;1450;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;6;1;590;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;2;1;532;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;1;1;1285;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;3;1;554;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;4;1;511;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;4;1;1013;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;4;1;770;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;5;1;794;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;1;1;1114;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;6;1;784;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;2;2;1319;INVÁLIDO
release;10;03/05/2017 08:04:18;1;4;14;1;3;744;INVÁLIDO
