Nome;Idade;Momento Inicial;Percentil;# Respostas Corretas;# Respostas Incorretas;Resposta esperada;Resposta dada;Tempos;Validez
whatever;10;17/05/2017 09:50:07;1;6;12;4;4;1637;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;5;5;929;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;1;1;1626;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;2;1;492;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;6;1;587;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;3;1;511;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;6;1;393;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;2;1;308;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;1;1;318;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;3;1;333;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;4;1;500;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;4;1;347;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;4;1;354;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;5;1;357;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;1;1;377;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;6;1;356;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;2;1;384;INVÁLIDO
whatever;10;17/05/2017 09:50:07;1;6;12;1;1;394;INVÁLIDO
